Calidad,Ciudad,Complemento,Costo Fijo,Costo Variable por  {size1Alias},Código de la Ubicación,Código Postal,Descripción,Dirección,Distrito,Días de Entrega,Email,Estado,Fecha de Geocodificación,Fecha de la última modificación,Habilitado,Huso horario,ID de Tax,Instrucciones,Latitud,Longitud,Organización,Pais,Radio de Entrega,Tel. 1,Tel. 2,Tiempo de Servicio Fijo con ayudante,Tiempo de Servicio Fijo sin ayudante,Tiempo de Servicio Variable con ayudante,Tiempo de Servicio Variable sin ayudante,Tiene Geocerca,Tipo,Tipos de Tiempo de Servicio,Tipos de Ventana de Servicio,Última modificación por,id
MANUAL,,,,,0620225919,,MARISCOS NAUFRAGO,"CALLE PASEO DE LA PRESA 83, 1 36000 GUANAJUATO",,"S,T,R,F,S",,,2022-05-13 14:40:08,2025-04-10 03:11:05,true,Mexico/General,,,20.950173,20.950173,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,1231585
MANUAL,,,,,0620289935,,NATURAL FOODS,AUTOPISTA IRAPUATO-SILAO 1 36253 GUANAJUATO,,"S,M,W,R,F",,,2024-11-27 15:41:29,2024-12-10 00:08:06,true,America/Costa Rica,,,20.9077842,-101.3473014,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,2821441
MANUAL,,,,,0620302401,,MARIA GUADALUPE,CALLE RIO BRAVO 31 36126 SILAO DE LA VICTORIA,,"S,M,T,W,F,S",,,2025-03-27 14:47:23,2025-05-01 00:25:12,true,America/Costa Rica,,,20.9479029,-101.4375578,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,2892388
MANUAL,,,,,0620235805,,LAS MUSAS,CALLE JUAN VALLE 7 36000 GUANAJUATO,,0,,,2022-04-30 07:47:15,2022-05-19 21:21:23,true,Mexico/General,,,21.01762083628321,-101.25513777136806,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,1717929
MANUAL,,,,,0620235801,,SONIA VANESA GOMEZ,CALLE JALAPA 3 36250 GUANAJUATO,,"S,M,W,F",,,2022-04-30 07:35:21,2023-03-07 02:13:17,true,Mexico/General,,,20.996376154051323,-101.2864512205124,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmresequence,1717931
MANUAL,,,,,0620235302,,ESTELA RODRÍGUEZ,CALLE SAN MIGUEL SN 36119 SILAO DE LA VICTORIA,,"S,M,W,R,F",,,2022-04-30 12:36:51,2024-06-18 04:20:48,true,Mexico/General,,,20.96652107140978,-101.41603589047008,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,1717934
MANUAL,,,,,0620301353,,FERREEMEX,CAMINO A PASO DE PERULES 18 36263 GUANAJUATO,,"S,T,W,R,S",,,2025-03-21 09:36:42,2025-03-24 00:29:35,true,America/Costa Rica,,,20.9618229,-101.2901046,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,2890127
MANUAL,,,,,0620235300,,VERÓNICA ANGUIANO,"CALLE SIERRA INTERIOR 106, A 36119 SILAO DE LA VICTORIA",,"S,M,W,F",,,2022-05-10 15:37:44,2024-10-15 00:22:29,true,Mexico/General,,,20.9649331346437,-101.4159042834581,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,1717935
MANUAL,,,,,0620235303,,FIDELIA GARCÍA,CALLE SAN PEDRO 20 36119 SILAO DE LA VICTORIA,,"S,M,W,F",,,2022-04-30 12:26:40,2024-10-15 00:22:29,true,Mexico/General,,,20.9681711057731,-101.41582024145465,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,1717936
,,,,,0620302119,,IRMA NAVARRO VELAZQUEZ,FRANCISCO SERRANO 2 36280 SILAO DE LA VICTORIA,,"S,M,W,F,S",,,,,true,America/Costa Rica,,,,,Distribuidora Silao,MX,,,,,,,,false,Default,,,,2892383
MANUAL,,,,,0620299952,,LA VICTORIA,CALLE PASEO DEL CUBILETE 202 36110 SILAO DE LA VICTORIA,,"S,M,T,R,S",,,2025-03-26 16:01:59,2025-04-09 00:45:29,true,America/Costa Rica,,,20.9515017,-101.4348117,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,2891693
MANUAL,,,,,0620235825,,ALBERTO ARANDA TORRES,CALLE MORELOS 20 36100 SILAO DE LA VICTORIA,,"S,M,W,F",,,2023-03-02 18:26:37,2023-03-04 04:05:46,true,Mexico/General,,,20.94548,-101.4262817,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmresequence,1717932
MANUAL,,,,,0620235815,,JUAN ANTONIO LOPEZ BARCENAS,"CALLE SAN JUAN BAUTISTA SN, MF 36040 GUANAJUATO",,"S,M,W,R,F,S",,,2022-04-30 12:51:12,2024-10-15 00:22:06,true,Mexico/General,,,21.0195666,-101.2761286,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,1717933
MANUAL,,,,,0620237380,,ABARROTES PACHITA,"CALLE VILLA REAL 8 8, ALL1 36270 SILAO DE LA VICTORIA",,"S,T,R,S",,,2022-06-08 14:00:37,2022-06-10 00:17:06,true,Mexico/General,,,20.979244495887066,-101.44979506731035,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,1796771
,,,,,0620239315,,ARACELI VILLANUEVA MATA,CARRETERA BAJIO DE BONILLAS 8 36126 SILAO DE LA VICTORIA,,,,,,2022-07-19 08:13:41,true,Mexico/General,,,,,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmresequence,1822477
,,,,,0600503198,,JUAN BALANDRAN CAMARILLO,MORELOS 14 36270 SILAO,,"S,T,W,R,S",,,,2025-01-06 00:13:02,true,,,,20.98324614,-101.4854295,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,1141634
MANUAL,,,,,0620239336,,EL SABOR DE MEXICO,CALLE TEPETAPA 115 36000 GUANAJUATO,,0,,,2022-07-20 11:14:49,2023-01-11 12:47:44,true,Mexico/General,,,21.021356402549532,-101.26587331295015,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmresequence,1833504
MANUAL,,,,,0620240117,,OXXO EXPLANADA ALHONDIGA,ALHONDIGA ESQ CALLE 28 DE SEP 36000 GUANAJUATO,,"S,M,W,F",,,2022-08-05 08:53:57,2023-04-27 01:09:13,true,Mexico/General,,,21.01937721505493,-101.2583380938122,Distribuidora Silao,MX,0.1,,,,,,,false,Default,,,gmresequence,1864231
MANUAL,,,,,0620240238,,ANA MARIA RAMIREZ,CALLE JUAREZ 6A 36283 SILAO DE LA VICTORIA,,"S,T,W,R,S",,,2022-08-08 18:19:00,2024-10-13 23:11:16,true,Mexico/General,,,20.92601,-101.4860133,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,1856311
MANUAL,,,,,0620239332,,GORDITAS DOÑA MARY,CALLE FCO Y MADERO 8 36270 SILAO DE LA VICTORIA,,"S,M,W,F",,,2022-08-04 06:22:42,2024-10-15 00:21:56,true,Mexico/General,,,20.977130762378952,-101.45134940743448,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,1820251
MANUAL,,,,,0620239499,,DOÑA FINA,CALLE 20 DE NOVIEMBRE SN 36119 SILAO DE LA VICTORIA,,"S,M,T,R,F,S",,,2022-07-22 14:34:20,2022-08-02 23:46:43,true,Mexico/General,,,20.960386382283264,-101.42032966017723,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmresequence,1834867
MANUAL,,,,,0620235846,,FONDA ROSALBA,CALLE PRINCIPAL 38 36000 GUANAJUATO,,"S,M,W,R,F,S",,,2022-07-23 12:51:35,2024-11-12 01:24:09,true,Mexico/General,,,21.019790330363744,-101.26672357320787,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,1835203
,,,,,0620239613,,JOSE EDUARDO,CALLE MANUEL DOBLADO 45 36000 GUANAJUATO,,"S,M,W,R,F",,,,2024-12-28 02:02:29,true,Mexico/General,,,,,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,1835210
MANUAL,,,,,0620240349,,COCINA CHEVA,CALLE CARRETERA A MOMIAS 24 36040 GUANAJUATO,,"S,M,T,W,F,S",,,2022-08-04 15:15:55,2022-09-28 23:05:46,true,Mexico/General,,,21.0204367,-101.2666483,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmresequence,1860371
MANUAL,,,,,0620239505,,MARIA SARAI SEGOVIANO HERNANDE,CALLE ALHONDIGA 81 36000 GUANAJUATO,,"S,M,W,R,F,S",,,2022-08-11 10:42:35,2023-01-11 11:25:15,true,Mexico/General,,,21.025936850196018,-101.2594896554947,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmresequence,1847211
,,,,,0620239445,,RESTAURAN LAS CAZUELAS,AMPLIACION EX HACIENDA DW FRAN 36126 SILAO DE LA VICTORIA,,"S,M,W,F,S",,,,2023-01-11 11:25:22,true,Mexico/General,,,,,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmresequence,1847231
MANUAL,,,,,0620239877,,ANGELES KARINA SOLANO RAMÍREZ,"CALLE CARR PAM TEMEZCUI 1, SNM 36000 GUANAJUATO",,"S,M,T,W,F,S",,,2022-08-04 08:03:27,2023-12-07 01:25:42,true,Mexico/General,,,21.01471018443422,-101.24828875064851,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,1860331
MANUAL,,,,,0620240286,,SANDRA DANIELA VARGAS MARES,"CALLE LASCURÁIN DE RAT 16, SNM 36000 GUANAJUATO",,0,,,2022-08-04 11:35:05,2023-01-11 11:25:26,true,Mexico/General,,,21.017055736228066,-101.2534461019459,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmresequence,1860351
MANUAL,,,,,0620239503,,DAYANA,CALLE ESPERANZA SN 37800 DOLORES HIDALGO CUNA DE L,,0,,,2022-08-04 10:42:24,2023-01-11 12:48:00,true,Mexico/General,,,20.8989229,-101.1931665,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmresequence,1833491
MANUAL,,,,,0620239447,,SIMAS FARMACIA,CALLE PORTAL DOBLADO 5 36110 SILAO DE LA VICTORIA,,"S,M,T,R,F",,,2022-08-08 15:02:29,2023-09-09 01:57:24,true,Mexico/General,,,20.944082259662448,-101.42719790336743,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmresequence,1838393
,,,,,0680002549,,Fabian Gutierrez Navarro,,,,,,,2023-01-11 11:25:18,true,Mexico/General,,,,,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmresequence,1849971
MANUAL,,,,,0620238394,,SIMONA,CALLE CALLEJON PALMA 9 36240 GUANAJUATO,,"S,M,T,W,F,S",,,2022-08-05 08:55:50,2024-10-16 23:01:13,true,Mexico/General,,,21.0729661,-101.3757287,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,1818735
MANUAL,,,,,0620237826,,FRUTERIA BEKY,CALLE HIDALGO 89 36100 SILAO DE LA VICTORIA,,"M,T,W,R,S",,,2022-08-04 10:47:11,2023-01-11 12:47:51,true,Mexico/General,,,20.9504111,-101.425016,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmresequence,1813263
MANUAL,,,,,0620239493,,ARMANDO JOHATAN,CALLE PLAZA SAN FERNANDO 27 36000 GUANAJUATO,,"S,M,T,W,R,S",,,2022-07-22 10:21:06,2024-10-24 23:42:25,true,Mexico/General,,,21.017479874440745,-101.25618088251942,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,1834863
,,,,,0620241009,,CARNICERIA SAN MATEO,AMPLIACION JOSE MARIANO JIMENE 36258 GUANAJUATO,,"S,M,W,F",,,,2023-01-11 11:25:24,true,Mexico/General,,,20.9755756,-101.2774755,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmresequence,1880749
,,,,,0680002550,,Sauri Juan Antonio Luna Rodrig,,,,,,,2023-01-11 11:25:27,true,Mexico/General,,,,,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmresequence,1879791
,,,,,0620240958,,MA JESUS PALACIOS CORONA,PRIVADA SAN FCO 12 36126 SILAO DE LA VICTORIA,,"S,M,W,R,F,S",,,,2024-12-22 22:07:08,true,Mexico/General,,,,,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,1879792
MANUAL,,,,,0620239758,,MA GUADALUPE DURAN,CALLE HIDALGO 100 A 36266 GUANAJUATO,,"S,T,R,S",,,2022-07-28 11:41:38,2024-12-23 23:48:08,true,Mexico/General,,,20.8591783,-101.31175,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,1838394
MANUAL,,,,,0620239769,,JOSE MANUEL LUNA MOSQUEDA,CALLE JOSE ZORRILLA 34 36143 SILAO DE LA VICTORIA,,"S,M,T,W,R,F",,,2022-07-26 10:55:12,2024-07-06 00:48:37,true,Mexico/General,,,20.9334181,-101.4213186,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,1838395
MANUAL,,,,,0620239822,,JUAN DE DIOS,CALLE FRANCISCO FIERRO 19 36293 SILAO DE LA VICTORIA,,"S,T,R,F,S",,,2022-08-04 10:36:43,2024-09-17 23:55:17,true,Mexico/General,,,20.935834337289755,-101.36165767908099,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,1835732
MANUAL,,,,,0620239209,,TACOS TOÑO,CALLE PROLONGACION SANTO NIÑO 36100 SILAO DE LA VICTORIA,,"S,M,T,W,R,S",,,2022-07-12 07:18:52,2024-10-18 00:16:05,true,Mexico/General,,,20.948720185575553,-101.43510460853577,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,1818736
,,,,,0620197058,,JUAN BARAJAS FLORES,CALLE UNION 17 36119 SILAO DE LA VICTORIA,,"S,M,W,F",,,2022-08-04 08:05:19,2022-08-05 23:57:34,true,,,,20.96057739,-101.4179225,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmresequence,1141164
MANUAL,,,,,0620237463,,JESSICA CEBALLOS,CALLE POSITOS 79 36000 GUANAJUATO,,"M,T,W,R,F,S",,,2022-08-11 10:43:41,2023-01-11 11:25:32,true,Mexico/General,,,21.018540966017387,-101.25643193721773,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmresequence,1835208
MANUAL,,,,,0620019384,,AURELIO MANDUJANO MUÑIZ,CALLE LA HERMITA 101 37600 SAN FELIPE,,"S,M,T,R,F,S",,,2025-04-30 20:48:20,2025-05-07 01:04:49,true,,,,21.47050391738159,-101.21850358232298,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,1145207
MANUAL,,,,,0620239808,,TACOS MALUCO,CALLE PRINCIPAL SN 36250 GUANAJUATO,,,,,2022-08-08 15:24:49,2022-12-30 23:49:38,true,Mexico/General,,,20.935236,-101.2793077,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmresequence,1847232
MANUAL,,,,,0620239608,,FONDO CHUYA 2,CALLE 20 DE NOVIEMBRE 20 36100 SILAO DE LA VICTORIA,,"S,M,T,W,R,S",,,2022-11-22 10:49:41,2024-11-15 00:55:41,true,Mexico/General,,,21.0281682,-101.3933493,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,1838391
MANUAL,,,,,0620238924,,CHIL CHIL CHILAQUIL,AVENIDA ALVARO OBREGON 93 36100 SILAO DE LA VICTORIA,,"M,W,R,F,S",,,2022-09-14 08:56:55,2023-01-11 12:47:44,true,Mexico/General,,,20.94619186776746,-101.43112599871529,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmresequence,1874772
MANUAL,,,,,0620240699,,PATRICIA CORONA,CALLE VENUSTIANO CARRANZA 32 36119 SILAO DE LA VICTORIA,,"S,T,R,F,S",,,2022-08-10 09:55:13,2022-08-11 21:37:56,true,Mexico/General,,,20.9607717,-101.4219383,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmresequence,1877325
MANUAL,,,,,0620239876,,JOSE TRINIDAD MARQUEZ GALLARDO,CALLE TERRAZAS DEL PIPILA LOC 36000 GUANAJUATO,,0,,,2022-10-05 11:46:46,2023-01-11 12:47:47,true,Mexico/General,,,21.0142783,-101.2545433,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmresequence,1840291
,,,,,0680002548,,Luis Alejandro Ramirez Flores,36100,,,,,,2023-12-13 01:11:07,true,Mexico/General,,,,,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,1877671
MANUAL,,,,,0620240352,,FIDEL HERNANDEZ,CALLE SAUCE 10 36155 SILAO DE LA VICTORIA,,"S,T,W,R,F,S",,,2022-07-31 07:47:54,2022-12-20 23:11:38,true,Mexico/General,,,20.930945490968263,-101.42430871725084,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmresequence,1849952
,,,,,0620240967,,COMIDAS Y MICHELASDAS SOFY,CALLE RIO SILAO 4 C 36126 SILAO DE LA VICTORIA,,"S,M,T,S",,,,2023-02-28 02:02:09,true,Mexico/General,,,,,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmresequence,1879793
,,,,,0620241314,,YOLANDA EQUIHUA TAPIA,CALLE NUEVO GUANAJUATO MZ.2 LT 36000 GUANAJUATO,,"S,M,T,R,F,S",,,,2023-01-11 11:25:28,true,Mexico/General,,,21.01135,-101.2566767,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmresequence,1886431
MANUAL,,,,,0620241218,,TACOS PACO,"CALLE SOBRE CARRETERA 1, LL1 36100 SILAO DE LA VICTORIA",,"S,T,R,S",,,2023-02-03 14:44:32,2023-02-04 22:18:25,true,Mexico/General,,,20.868874,-101.358032,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmresequence,1884062
MANUAL,,,,,0620239448,,FRUTAS Y ABARROTES,CALLE CARRETERA PUENTECILLAS S 36263 GUANAJUATO,,"S,M,W,R,F,S",,,2022-07-19 11:05:33,2022-07-25 22:25:39,true,Mexico/General,,,20.9388633,-101.2795367,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmresequence,1833049
,,,,,0620237377,,TACOS BENJA,CALLE AV.JALISCO 208 208 37630 OCAMPO,,"S,T,W,R,S",,,,2022-07-19 08:13:37,true,Mexico/General,,,,,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmresequence,1825991
MANUAL,,,,,0620240856,,HUGO ERNESTO MARTINEZ,CALLE DON JUAN JIMENEZ 1A 36050 GUANAJUATO,,"S,T,W,R,F,S",,,2022-08-19 13:33:29,2024-11-03 22:42:20,true,Mexico/General,,,20.9823033,-101.2871917,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,1881393
MANUAL,,,,,0620239504,,IVAN EZEQUIEL SALINAS PADRON,CALLE CALLEJON DE LA SOLEDAD 2 36000 GUANAJUATO,,0,,,2022-07-20 13:21:12,2023-01-11 12:47:33,true,Mexico/General,,,21.023535856928067,-101.25499561429025,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmresequence,1833505
MANUAL,,,,,0620237716,,SERGIO MAURO ISAIAS,CALLE VIRGEN DE GUADALUPE 7 36275 SILAO DE LA VICTORIA,,"S,M,W,R,F",,,2022-06-18 10:01:06,2022-08-26 23:01:37,true,Mexico/General,,,20.98021369781723,-101.41717404127122,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmresequence,1803971
MANUAL,,,,,0620237390,,GABRIEL URIEL VILLAFAÑA RAMÍRE,"CALLE PONCIANO AGUILAR 45, SNM 36000 GUANAJUATO",,"S,M,T,W,R,F",,,2022-06-23 11:42:37,2024-12-28 02:02:36,true,Mexico/General,,,21.01642077830914,-101.25207602977753,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,1784294
MANUAL,,,,,0620240548,,KARLA ISABEL HERNANDEZ MACIAS,CALLE SEÑOR DE LA MISERICORDIA 36126 SILAO DE LA VICTORIA,,"S,M,W,F",,,2022-10-08 11:33:30,2023-03-09 01:16:29,true,Mexico/General,,,20.9383508,-101.4453393,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmresequence,1874771
MANUAL,,,,,0620237462,,MACANELA,CALLE PASEO DE LA PRESA 46 36000 GUANAJUATO,,"S,M,T,W,F,S",,,2022-08-11 10:43:08,2022-08-17 22:00:26,true,Mexico/General,,,21.0066107,-101.2497561,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmresequence,1808529
